x/c, Cp
4.982311071867593921e-01,-1.705352962017059326e-02
4.984244024225232828e-01,-1.713738404214382172e-02
4.990426396812326360e-01,-1.723475381731987000e-02
4.992955122156909620e-01,-1.712637022137641907e-02
4.999467625581929253e-01,-1.708177104592323303e-02
5.005412543129065250e-01,-1.727460511028766632e-02
5.006958563353248737e-01,-1.733864098787307739e-02
5.014581040966846759e-01,-1.729036308825016022e-02
5.015721337651534162e-01,-1.734879426658153534e-02
5.022223591218715200e-01,-1.732261106371879578e-02
5.022879582120467479e-01,-1.728822477161884308e-02
5.031243466117817364e-01,-1.721379533410072327e-02
5.031789698125201937e-01,-1.724046096205711365e-02
5.040187748315351213e-01,-1.747350208461284637e-02
5.041100839817921342e-01,-1.748289167881011963e-02
5.048274459073615050e-01,-1.751012727618217468e-02
5.052177519523562976e-01,-1.747036539018154144e-02
5.056174964081119327e-01,-1.741516031324863434e-02
5.064404745771731164e-01,-1.749509014189243317e-02
5.065023580938814440e-01,-1.748055033385753632e-02
5.072430384460364650e-01,-1.736146770417690277e-02
5.080179276987322190e-01,-1.763013564050197601e-02
5.083760748147543307e-01,-1.748009026050567627e-02
5.087725734821940682e-01,-1.738778874278068542e-02
5.095163287917010564e-01,-1.769971847534179688e-02
5.097784261982152287e-01,-1.787617616355419159e-02
5.106635868381717014e-01,-1.746691763401031494e-02
5.115078334622507050e-01,-1.779393479228019714e-02
5.120095212957722630e-01,-1.797152683138847351e-02
5.123405917040007029e-01,-1.803666166961193085e-02
5.131979496045664391e-01,-1.795724965631961823e-02
5.133030960629073602e-01,-1.794950477778911591e-02
5.141888973189788770e-01,-1.789153181016445160e-02
5.143609668074660135e-01,-1.791974157094955444e-02
5.151241114313868108e-01,-1.778986863791942596e-02
5.157771982067517191e-01,-1.787233911454677582e-02
5.163964177435040881e-01,-1.788268424570560455e-02
5.170298162502683370e-01,-1.800351403653621674e-02
5.177152327855699676e-01,-1.805543340742588043e-02
5.179260809028846113e-01,-1.806941069662570953e-02
5.184074825594314762e-01,-1.810079813003540039e-02
5.190723139635713412e-01,-1.812993735074996948e-02
5.197217705809513699e-01,-1.817928440868854523e-02
5.204123547529139193e-01,-1.823056675493717194e-02
5.205933928670110067e-01,-1.824657246470451355e-02
5.211783180877407329e-01,-1.829916425049304962e-02
5.219609374415572489e-01,-1.834348030388355255e-02
5.227270288996070935e-01,-1.840159855782985687e-02
5.234723216877900098e-01,-1.846209727227687836e-02
5.237339493091531795e-01,-1.847844384610652924e-02
5.242223550352239636e-01,-1.847966387867927551e-02
5.249653843131339981e-01,-1.863153465092182159e-02
5.256913732023851260e-01,-1.862657815217971802e-02
5.257068761123679934e-01,-1.862918399274349213e-02
5.264203089257653012e-01,-1.861032098531723022e-02
5.271488175717354840e-01,-1.862654834985733032e-02
5.274285105675414753e-01,-1.848919130861759186e-02
5.279120903188793124e-01,-1.839226111769676208e-02
5.285377587245225772e-01,-1.891717500984668732e-02
5.291273817967622195e-01,-1.857178099453449249e-02
5.298619549419543162e-01,-1.857205480337142944e-02
5.305850824125585286e-01,-1.888180710375308990e-02
5.312380410647005169e-01,-1.867453753948211670e-02
5.313291793839935995e-01,-1.866477541625499725e-02
5.320933489936983118e-01,-1.901285350322723389e-02
5.326520516614543510e-01,-1.909536123275756836e-02
5.328892931627068341e-01,-1.909140497446060181e-02
5.337431917362516209e-01,-1.907380111515522003e-02
5.339146206086237134e-01,-1.906899735331535339e-02
5.346887838297224027e-01,-1.901769265532493591e-02
5.356337780148192618e-01,-1.917452551424503326e-02
5.356673462992449508e-01,-1.918099261820316315e-02
5.366585502601032287e-01,-1.922870986163616180e-02
5.369649783017750311e-01,-1.940052583813667297e-02
5.377765107962482194e-01,-1.930993795394897461e-02
5.379091610397928047e-01,-1.927899010479450226e-02
5.382280597418364065e-01,-1.922233775258064270e-02
5.385613936603378393e-01,-1.923238486051559448e-02
5.392135408654008533e-01,-1.967923901975154877e-02
5.394104235514086687e-01,-1.971600949764251709e-02
5.402591971960335471e-01,-1.962354220449924469e-02
5.402972497932641005e-01,-1.962254382669925690e-02
5.411555045563909427e-01,-1.971764117479324341e-02
5.412890089547555128e-01,-1.971754431724548340e-02
5.420134176575897023e-01,-1.970472373068332672e-02
5.424759852003557814e-01,-1.962069049477577209e-02
5.428603548693515801e-01,-1.957389526069164276e-02
5.436465189656711772e-01,-1.979189366102218628e-02
5.438741939329396757e-01,-1.982011087238788605e-02
5.444228602815608387e-01,-1.986144483089447021e-02
5.451940339607894703e-01,-1.989922486245632172e-02
5.453769939232315789e-01,-1.990191452205181122e-02
5.459982207238108787e-01,-1.994961127638816833e-02
5.467333490696359988e-01,-2.001214958727359772e-02
5.468348653699918183e-01,-2.001961506903171539e-02
5.476797953179267653e-01,-2.003106661140918732e-02
5.480278206993320911e-01,-2.005188539624214172e-02
5.485289960399616360e-01,-2.008149214088916779e-02
5.493412545660318891e-01,-2.015142701566219330e-02
5.493621386513807270e-01,-2.015340514481067657e-02
5.501828533101689178e-01,-2.014022693037986755e-02
5.507101657882902401e-01,-2.026674151420593262e-02
5.509939160194911034e-01,-2.032804489135742188e-02
5.517548825486209285e-01,-2.049185894429683685e-02
5.522284259808238893e-01,-2.028789557516574860e-02
5.525081616843708909e-01,-2.015872299671173096e-02
5.534244989752570287e-01,-2.029865980148315430e-02
5.540606734851861725e-01,-2.053141035139560699e-02
5.543366081997842532e-01,-2.063684724271297455e-02
5.554101526852897042e-01,-2.028325386345386505e-02
5.554766913457669375e-01,-2.025986276566982269e-02
5.555852971311288080e-01,-2.027037553489208221e-02
5.563392168829937035e-01,-2.054103463888168335e-02
5.570470122745790897e-01,-2.097101323306560516e-02
5.571135082273153127e-01,-2.097381837666034698e-02
5.578825892272351039e-01,-2.102707698941230774e-02
5.583551930891360593e-01,-2.096545696258544922e-02
5.586401818448260004e-01,-2.093598432838916779e-02
5.593644624244371588e-01,-2.099055610597133636e-02
5.600946366723063008e-01,-2.115790173411369324e-02
5.604816115135031751e-01,-2.119539678096771240e-02
5.608683301082539874e-01,-2.123535983264446259e-02
5.616378808933247813e-01,-2.108548395335674286e-02
5.623486658267801142e-01,-2.105025760829448700e-02
5.623610937794109033e-01,-2.105239033699035645e-02
5.630011119860300894e-01,-2.136749587953090668e-02
5.636523623285321083e-01,-2.131881751120090485e-02
5.636591955670919862e-01,-2.131858654320240021e-02
5.643783512177832362e-01,-2.126433886587619781e-02
5.651238148369303049e-01,-2.145245298743247986e-02
5.657512342599545496e-01,-2.154088579118251801e-02
5.658718836282782272e-01,-2.155763283371925354e-02
5.666042359709383414e-01,-2.166895754635334015e-02
5.673336841872105296e-01,-2.175074629485607147e-02
5.678733819102217417e-01,-2.181876264512538910e-02
5.680595876609796369e-01,-2.184777148067951202e-02
5.687817328535409445e-01,-2.194656245410442352e-02
5.694958062830532963e-01,-2.210176922380924225e-02
5.701948038799927732e-01,-2.210509777069091797e-02
5.708762913031224517e-01,-2.210893295705318451e-02
5.715472299142252410e-01,-2.211022563278675079e-02
5.722205174510829329e-01,-2.214093878865242004e-02
5.728141550509765478e-01,-2.236867509782314301e-02
5.728879113196827522e-01,-2.239336818456649780e-02
5.735901119971972273e-01,-2.225351706147193909e-02
5.737884467463990612e-01,-2.234123833477497101e-02
5.746056166626842820e-01,-2.255281992256641388e-02
5.748799284831244139e-01,-2.253560163080692291e-02
5.754331218522914515e-01,-2.248850464820861816e-02
5.760386322041829432e-01,-2.243671193718910217e-02
5.767837541614019292e-01,-2.269030548632144928e-02
5.768747216497309704e-01,-2.271504513919353485e-02
5.773196936032051196e-01,-2.259479649364948273e-02
5.776594763905974483e-01,-2.251141145825386047e-02
5.784049827174855274e-01,-2.282024547457695007e-02
5.784762192294726768e-01,-2.286327257752418518e-02
5.793445957272164160e-01,-2.309923432767391205e-02
5.797775240977287581e-01,-2.305271662771701813e-02
5.801003946196852112e-01,-2.300533466041088104e-02
5.808608059481821240e-01,-2.255991473793983459e-02
5.813908090139863205e-01,-2.280454710125923157e-02
5.819304640292565223e-01,-2.329775132238864899e-02
5.824429569212510316e-01,-2.296752296388149261e-02
5.826938221918823713e-01,-2.290704473853111267e-02
5.835364459218033151e-01,-2.329146489500999451e-02
5.837047571290825410e-01,-2.325466088950634003e-02
5.844444124954535358e-01,-2.320812828838825226e-02
5.851475100355290060e-01,-2.361722290515899658e-02
5.853123619157871715e-01,-2.368919737637042999e-02
5.858606866024803628e-01,-2.374710515141487122e-02
5.865508009892919095e-01,-2.357810735702514648e-02
5.868513780704466276e-01,-2.364370971918106079e-02
5.873568668929172176e-01,-2.395293489098548889e-02
5.882315214285878113e-01,-2.355012670159339905e-02
5.883196702060108363e-01,-2.357838489115238190e-02
5.892044464762983269e-01,-2.445279248058795929e-02
5.892269534558051136e-01,-2.447616308927536011e-02
5.900473264526653328e-01,-2.416195534169673920e-02
